study_id,title,first_author,venue,year,iot_domain,topology,agent_architecture,reasoning_strategy,cybersecurity_focus,benchmarks,critical_limitations,compound_failure_mode,reports_false_discovery_rate,coding_source
ref-64,AutoPen: Towards Autonomous Penetration Testing Using LLM-Powered Agents,Mei,ACM DL,2025,cross-cutting,,multi-agent,plan-and-solve,vulnerability-discovery,,,,no,manuscript-explicit
ref-65,Towards the Safety of Intelligent Transportation: A Survey on the Security Challenges and Mitigations in Internet of Vehicles (IoV),Das,ACM DL,2026,vehicular IoT,,non-agentic-baseline,none,cross-cutting (survey),,,,,author-verified
ref-66,Anomaly Traffic Detection in IoT Security Using Graph Neural Networks,Gao,ACM DL,2023,general IoT,,non-agentic-baseline,none,detection,,,,,author-verified
ref-67,ZTA-IoT: A Novel Architecture for Zero-Trust in IoT Systems and an Ensuing Usage Control Model,Ameer,ACM DL,2024,general IoT,,non-agentic-baseline,none,,,,,,author-verified
ref-68,Interplay of Digital Twins and Cyber Deception: Unraveling Paths for Technological Advancements,Heluany,IEEE Xplore,2024,cross-cutting,,multi-agent,,deception,,,,,manuscript-explicit
ref-69,HoneyLLM: A Large Language Model-Powered Medium-Interaction Honeypot,Fan,ACM DL,2024,cross-cutting,,single-agent,,deception,,,,,manuscript-explicit
ref-70,CyberNER-LLM: Cyber Threat Intelligence Named Entity Recognition With Large Language Model,Liu,ACM DL,2025,cross-cutting,,single-agent,,threat-intelligence,,,,,author-verified
ref-71,SAIBERSOC: A Methodology and Tool for Experimenting with Security Operation Centers,Rosso,ACM DL,2022,cross-cutting,,non-agentic-baseline,none,,,,,,author-verified
ref-72,Towards Human-AI Teaming to Mitigate Alert Fatigue in Security Operations Centres,Baruwal Chhetri,ACM DL,2024,cross-cutting,,non-agentic-baseline,none,response,,,,,author-verified
ref-73,"ChatGPT for Cybersecurity: Practical Applications, Challenges, and Future Directions",Al-Hawawreh,ACM DL,2023,cross-cutting,,single-agent,,,,,,,author-verified
